"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime"
524001.220,4778999.910,1509.460,7166.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,15.000,586333.926
524000.080,4778999.840,1509.080,6198.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586333.912
524000.940,4778999.640,1509.240,6650.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586333.919
524000.810,4778999.830,1509.160,7877.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.023
524000.470,4778999.640,1509.100,9233.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.016
524000.550,4778999.730,1509.060,9103.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586565.571
524001.190,4778999.320,1509.370,11492.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,11.000,586567.182
524000.420,4778999.560,1509.050,8329.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586567.182
524000.730,4778999.850,1509.120,9426.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586567.175
524000.780,4778999.920,1509.220,6908.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,587119.562
524002.160,4778999.710,1509.710,6069.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,24.000,586333.933
524003.130,4778999.520,1509.720,7166.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586333.940
524006.400,4778999.960,1510.510,6973.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.045
524004.080,4778999.940,1510.070,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.038
524005.000,4778999.840,1510.280,11686.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.038
524005.840,4778999.740,1510.660,7747.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,27.000,586328.038
524001.960,4778999.940,1509.740,11299.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,27.000,586328.030
524004.620,4778999.630,1510.130,8264.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.030
524005.370,4778999.540,1510.470,11105.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,13.000,586328.030
524001.570,4778999.740,1509.490,11557.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,13.000,586328.023
524002.470,4778999.630,1509.560,8458.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.023
524003.400,4778999.530,1509.760,9168.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.023
524217.670,4778999.910,1530.830,6973.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.062
524218.360,4778999.810,1531.360,6198.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,38.000,586329.062
524216.330,4778999.960,1530.620,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.055
524217.390,4778999.810,1530.770,9555.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.055
524215.850,4778999.950,1530.410,10395.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.048
524216.820,4778999.820,1530.570,7554.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.048
524217.640,4778999.700,1530.990,6650.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,15.000,586329.048
524215.310,4778999.990,1530.290,8781.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.041
524216.270,4778999.850,1530.550,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.041
524217.280,4778999.710,1530.770,9620.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.041
524215.750,4778999.920,1530.360,8458.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.033
524216.660,4778999.790,1530.550,8070.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.033
524217.420,4778999.680,1531.090,8006.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,29.000,586329.033
524216.120,4778999.870,1530.510,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.026
524215.560,4778999.950,1530.340,8393.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586329.019
524216.370,4778999.830,1530.650,8329.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,13.000,586329.019
