x,y,z
40.0083,40.2016,1697.00
40.0250,40.2016,1681.00
40.0417,40.2016,1695.00
40.0583,40.2016,1753.00
40.0750,40.2016,1707.00
40.0917,40.2016,1775.00
40.1083,40.2016,1867.00
40.1250,40.2016,1897.00
40.1417,40.2016,1815.00
40.1583,40.2016,1779.00
40.1750,40.2016,1745.00
40.1917,40.2016,1785.00
40.2083,40.2016,1863.00
40.0083,40.1889,1747.00
40.0250,40.1889,1729.00
40.0417,40.1889,1715.00
40.0583,40.1889,1833.00
40.0750,40.1889,1715.00
40.0917,40.1889,1735.00
40.1083,40.1889,1821.00
40.1250,40.1889,1917.00
40.1417,40.1889,1963.00
40.1583,40.1889,1937.00
40.1750,40.1889,1809.00
40.1917,40.1889,1827.00
40.2083,40.1889,1871.00
40.0083,40.1761,1773.00
40.0250,40.1761,1807.00
40.0417,40.1761,1727.00
40.0583,40.1761,1771.00
40.0750,40.1761,1771.00
40.0917,40.1761,1723.00
40.1083,40.1761,1771.00
40.1250,40.1761,1855.00
40.1417,40.1761,1913.00
40.1583,40.1761,1877.00
40.1750,40.1761,1823.00
40.1917,40.1761,1891.00
40.2083,40.1761,1939.00
40.0083,40.1634,1761.00
40.0250,40.1634,1857.00
40.0417,40.1634,1841.00
40.0583,40.1634,1747.00
40.0750,40.1634,1789.00
40.0917,40.1634,1751.00
40.1083,40.1634,1759.00
40.1250,40.1634,1947.00
40.1417,40.1634,2003.00
40.1583,40.1634,1997.00
40.1750,40.1634,1869.00
40.1917,40.1634,2009.00
40.2083,40.1634,2113.00
40.0083,40.1507,1765.00
40.0250,40.1507,1889.00
40.0417,40.1507,1871.00
40.0583,40.1507,1773.00
40.0750,40.1507,1787.00
40.0917,40.1507,1769.00
40.1083,40.1507,1761.00
40.1250,40.1507,1867.00
40.1417,40.1507,1989.00
40.1583,40.1507,2029.00
40.1750,40.1507,1945.00
40.1917,40.1507,1985.00
40.2083,40.1507,2135.00
40.0083,40.1379,1777.00
40.0250,40.1379,1939.00
40.0417,40.1379,1877.00
40.0583,40.1379,1795.00
40.0750,40.1379,1831.00
40.0917,40.1379,1795.00
40.1083,40.1379,1767.00
40.1250,40.1379,1871.00
40.1417,40.1379,1909.00
40.1583,40.1379,1997.00
40.1750,40.1379,2037.00
40.1917,40.1379,2085.00
40.2083,40.1379,2159.00
40.0083,40.1252,1781.00
40.0250,40.1252,1917.00
40.0417,40.1252,1891.00
40.0583,40.1252,1897.00
40.0750,40.1252,1941.00
40.0917,40.1252,1851.00
40.1083,40.1252,1837.00
40.1250,40.1252,1801.00
40.1417,40.1252,1855.00
40.1583,40.1252,2019.00
40.1750,40.1252,2185.00
40.1917,40.1252,2143.00
40.2083,40.1252,2109.00
40.0083,40.1124,1817.00
40.0250,40.1124,1951.00
40.0417,40.1124,1957.00
40.0583,40.1124,1945.00
40.0750,40.1124,2027.00
40.0917,40.1124,1953.00
40.1083,40.1124,1901.00
40.1250,40.1124,1911.00
40.1417,40.1124,1891.00
40.1583,40.1124,2101.00
40.1750,40.1124,2195.00
40.1917,40.1124,2279.00
40.2083,40.1124,2019.00
40.0083,40.0997,1819.00
40.0250,40.0997,1965.00
40.0417,40.0997,2033.00
40.0583,40.0997,2079.00
40.0750,40.0997,2119.00
40.0917,40.0997,2179.00
40.1083,40.0997,2151.00
40.1250,40.0997,2057.00
40.1417,40.0997,1959.00
40.1583,40.0997,1997.00
40.1750,40.0997,2233.00
40.1917,40.0997,2407.00
40.2083,40.0997,2341.00
40.0083,40.0869,1819.00
40.0250,40.0869,1917.00
40.0417,40.0869,2141.00
40.0583,40.0869,2287.00
40.0750,40.0869,2375.00
40.0917,40.0869,2373.00
40.1083,40.0869,2275.00
40.1250,40.0869,2259.00
40.1417,40.0869,2045.00
40.1583,40.0869,2105.00
40.1750,40.0869,2167.00
40.1917,40.0869,2473.00
40.2083,40.0869,2313.00
40.0083,40.0742,1915.00
40.0250,40.0742,2123.00
40.0417,40.0742,2279.00
40.0583,40.0742,2339.00
40.0750,40.0742,2197.00
40.0917,40.0742,2191.00
40.1083,40.0742,2139.00
40.1250,40.0742,2077.00
40.1417,40.0742,1981.00
40.1583,40.0742,2249.00
40.1750,40.0742,2393.00
40.1917,40.0742,2451.00
40.2083,40.0742,2331.00
40.0083,40.0614,2115.00
40.0250,40.0614,2077.00
40.0417,40.0614,2199.00
40.0583,40.0614,2395.00
40.0750,40.0614,2331.00
40.0917,40.0614,2171.00
40.1083,40.0614,2141.00
40.1250,40.0614,2063.00
40.1417,40.0614,2031.00
40.1583,40.0614,2143.00
40.1750,40.0614,2383.00
40.1917,40.0614,2451.00
40.2083,40.0614,2307.00
40.0083,40.0487,2187.00
40.0250,40.0487,2203.00
40.0417,40.0487,2279.00
40.0583,40.0487,2281.00
40.0750,40.0487,2311.00
40.0917,40.0487,2289.00
40.1083,40.0487,2191.00
40.1250,40.0487,2153.00
40.1417,40.0487,2075.00
40.1583,40.0487,2165.00
40.1750,40.0487,2173.00
40.1917,40.0487,2283.00
40.2083,40.0487,2225.00
40.0083,40.0359,2165.00
40.0250,40.0359,2253.00
40.0417,40.0359,2261.00
40.0583,40.0359,2135.00
40.0750,40.0359,2113.00
40.0917,40.0359,2073.00
40.1083,40.0359,1985.00
40.1250,40.0359,2199.00
40.1417,40.0359,2137.00
40.1583,40.0359,2307.00
40.1750,40.0359,2227.00
40.1917,40.0359,2239.00
40.2083,40.0359,2275.00
40.0083,40.0232,2159.00
40.0250,40.0232,2023.00
40.0417,40.0232,1995.00
40.0583,40.0232,2023.00
40.0750,40.0232,2041.00
40.0917,40.0232,1989.00
40.1083,40.0232,1913.00
